year,iiso3c,eiso3c,value,contig,comlang_off,colony,dist,distcap,distw,distwces,ell,ill,egdp,egdppc,epop,igdp,igdppc,ipop
2013,ALB,SGP,1221506.0,0,0,0,9424.125,9424.125,9420.047,9419.954,0,0,2.024218492e+11,37491.0818639,5399200.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SLE,15837.0,0,0,0,4893.526,4893.526,4843.656,4842.718,0,0,3118731419.71,504.742286515,6178859.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SLV,5743.0,0,0,0,10535.93,10535.93,10539.75,10539.58,0,0,19420611604.6,3189.12100685,6089644.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SMR,283757.0,0,0,0,666.4761,666.4761,680.5862,678.3142,0,0,,,31391.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SVK,12223900.0,0,0,0,788.7294,788.7294,841.7741,836.8785,1,0,83210919039.9,15371.305767,5413393.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SVN,34536436.0,0,0,0,678.3095,678.3095,691.6104,687.5752,0,0,38397711727.4,18640.0911707,2059953.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SWE,9466876.0,0,0,0,2006.998,2006.998,1995.412,1979.046,0,0,4.36372281918e+11,45453.6515608,9600379.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SWZ,383630.0,0,0,0,7621.19,7621.19,7617.212,7616.716,1,0,3120501208.82,2495.12146877,1250641.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SYC,38714.0,0,0,0,6266.362,6266.362,6252.861,6252.51,0,0,1388712937.27,15447.3074223,89900.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SYR,1040021.0,0,0,0,1694.973,1694.973,1661.801,1656.091,0,0,,,21789415.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,TCA,126014.0,0,0,0,8536.265,8536.265,8550.062,8549.904,0,0,,,33103.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,THA,12621076.0,0,0,0,8241.192,8241.192,8249.614,8247.475,0,0,2.30371292593e+11,3415.36598877,67451422.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,TJK,393268.0,0,0,0,4136.511,4136.511,4156.687,4155.72,1,0,3944940642.21,486.315605481,8111894.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,TKM,,0,0,0,3299.434,3299.434,3345.862,3327.358,1,0,18639001814.9,3557.00167915,5240088.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,TON,36719.0,0,0,0,17378.83,17378.83,17366.71,17366.23,0,0,263100369.945,2502.4051013,105139.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,TUN,5177161.0,0,0,0,968.0001,968.0001,1021.8,1014.168,0,0,43322022840.0,3979.42615533,10886500.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,TUR,309219769.0,0,0,1,765.4231,1110.814,1048.17,949.0401,0,0,6.54068728412e+11,8719.73026299,75010202.0,11346755234.8,3916.23123721,2897366.0
